(GS - MLCUP) - Model 0 evalutation
(GS - MLCUP) - Configuration 0, score : 762.500130105037, best_validation_mee : 7.62500130105037, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 1e-05, 'alpha': 0.8, '_lambda': 0.001}
(GS - MLCUP) - Configuration 1, score : 762.5001301114887, best_validation_mee : 7.625001301114887, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 1e-05, 'alpha': 0.9, '_lambda': 0.001}
(GS - MLCUP) - Configuration 2, score : 773.4455444523945, best_validation_mee : 7.734455444523945, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 1e-05, 'alpha': 0.8, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 3, score : 773.4455444523948, best_validation_mee : 7.734455444523948, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 1e-05, 'alpha': 0.9, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 4, score : 777.086966266198, best_validation_mee : 7.770869662661981, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 1e-05, 'alpha': 0.9, '_lambda': 0.001}
(GS - MLCUP) - Configuration 5, score : 777.0895978757918, best_validation_mee : 7.770895978757919, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 1e-05, 'alpha': 0.8, '_lambda': 0.001}
(GS - MLCUP) - Configuration 6, score : 781.5834020876908, best_validation_mee : 7.815834020876909, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 1e-05, 'alpha': 0.9, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 7, score : 781.5834020876937, best_validation_mee : 7.815834020876937, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 1e-05, 'alpha': 0.8, '_lambda': 0.0001}
(GS - MLCUP) - Model 1 evalutation
(GS - MLCUP) - Configuration 0, score : 373.3386185851319, best_validation_mee : 3.733386185851319, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 5e-06, 'alpha': 0.9, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 1, score : 373.33861858513194, best_validation_mee : 3.7333861858513195, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 5e-06, 'alpha': 0.8, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 2, score : 375.0097549128251, best_validation_mee : 3.7500975491282507, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 5e-06, 'alpha': 0.9, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 3, score : 375.00975491282526, best_validation_mee : 3.7500975491282524, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 5e-06, 'alpha': 0.8, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 4, score : 383.2902024259132, best_validation_mee : 3.8329020242591323, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 5e-06, 'alpha': 0.8, '_lambda': 0.001}
(GS - MLCUP) - Configuration 5, score : 383.2902024259154, best_validation_mee : 3.8329020242591545, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 5e-06, 'alpha': 0.9, '_lambda': 0.001}
(GS - MLCUP) - Configuration 6, score : 383.60678114151943, best_validation_mee : 3.8360678114151945, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 5e-06, 'alpha': 0.8, '_lambda': 0.001}
(GS - MLCUP) - Configuration 7, score : 383.60678114151943, best_validation_mee : 3.8360678114151945, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 5e-06, 'alpha': 0.9, '_lambda': 0.001}
(GS - MLCUP) - Model 2 evalutation
(GS - MLCUP) - Configuration 0, score : 412.32751593861883, best_validation_mee : 4.123275159386188, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 5e-06, 'alpha': 0.8, '_lambda': 0.001}
(GS - MLCUP) - Configuration 1, score : 412.3275159386638, best_validation_mee : 4.123275159386638, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 5e-06, 'alpha': 0.9, '_lambda': 0.001}
(GS - MLCUP) - Configuration 2, score : 424.5323393363446, best_validation_mee : 4.245323393363446, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 5e-06, 'alpha': 0.9, '_lambda': 0.001}
(GS - MLCUP) - Configuration 3, score : 424.53233933634885, best_validation_mee : 4.245323393363488, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 5e-06, 'alpha': 0.8, '_lambda': 0.001}
(GS - MLCUP) - Configuration 4, score : 443.39686520349335, best_validation_mee : 4.433968652034934, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 5e-06, 'alpha': 0.8, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 5, score : 443.39686520349375, best_validation_mee : 4.433968652034937, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 5e-06, 'alpha': 0.9, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 6, score : 447.3664272996622, best_validation_mee : 4.473664272996622, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 5e-06, 'alpha': 0.9, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 7, score : 447.3664272996623, best_validation_mee : 4.473664272996623, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 5e-06, 'alpha': 0.8, '_lambda': 0.0001}
