(GS - MLCUP) - Model 0 evalutation
(GS - MLCUP) - Configuration 0, score : 445.69478742513195, best_validation_mee : 4.45694787425132, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 1e-05, 'alpha': 0.8, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 1, score : 445.6947874251324, best_validation_mee : 4.456947874251324, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 1e-05, 'alpha': 0.9, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 2, score : 458.9049449297022, best_validation_mee : 4.589049449297022, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 1e-05, 'alpha': 0.8, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 3, score : 458.9049449297023, best_validation_mee : 4.589049449297023, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 1e-05, 'alpha': 0.9, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 4, score : 519.7174577171171, best_validation_mee : 5.197174577171171, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 9e-06, 'alpha': 0.8, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 5, score : 519.7174577171171, best_validation_mee : 5.197174577171171, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 9e-06, 'alpha': 0.9, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 6, score : 550.0030684724102, best_validation_mee : 5.500030684724102, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 9e-06, 'alpha': 0.8, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 7, score : 550.0030684724102, best_validation_mee : 5.500030684724102, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 9e-06, 'alpha': 0.9, '_lambda': 0.0001}

(GS - MLCUP) - Model 1 evalutation
(GS - MLCUP) - Configuration 0, score : 438.44875806279776, best_validation_mee : 4.384487580627978, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 5e-06, 'alpha': 0.8, '_lambda': 0.001}
(GS - MLCUP) - Configuration 1, score : 438.44875806279856, best_validation_mee : 4.384487580627986, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 5e-06, 'alpha': 0.9, '_lambda': 0.001}
(GS - MLCUP) - Configuration 2, score : 465.72299489478837, best_validation_mee : 4.657229948947884, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 5e-06, 'alpha': 0.8, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 3, score : 465.72299489478837, best_validation_mee : 4.657229948947884, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 5e-06, 'alpha': 0.9, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 4, score : 467.0450760402463, best_validation_mee : 4.6704507604024625, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 5e-06, 'alpha': 0.8, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 5, score : 467.04507604024633, best_validation_mee : 4.670450760402463, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 5e-06, 'alpha': 0.9, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 6, score : 468.55039382247037, best_validation_mee : 4.685503938224704, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 5e-06, 'alpha': 0.8, '_lambda': 0.001}
(GS - MLCUP) - Configuration 7, score : 468.55039382247367, best_validation_mee : 4.685503938224737, params:{'epoch': 150, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 5e-06, 'alpha': 0.9, '_lambda': 0.001}

(GS - MLCUP) - Model 2 evalutation
