(GS - MLCUP) - Model 0 : Done  48 out of  48 | elapsed: 17.6min finished
(GS - MLCUP) - Model 1 : Done  48 out of  48 | elapsed: 68.9min finished
(GS - MLCUP) - Model 2 : Done  48 out of  48 | elapsed: 35.8min finished
(GS - MLCUP) - Model 3 : Done  48 out of  48 | elapsed: 106.6min finished
(GS - MLCUP) - Model 4 : Done  48 out of  48 | elapsed: 61.8min finished

(GS - MLCUP) - Model 0 evalutation
(GS - MLCUP) - Configuration 0, score : 412.6024667923949, best_validation_mee : 4.116024667923949, params:{'epoch': 200, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 1e-05, 'alpha': 0.8, '_lambda': 0.001}
(GS - MLCUP) - Configuration 1, score : 412.6027516288829, best_validation_mee : 4.116027516288829, params:{'epoch': 200, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 1e-05, 'alpha': 0.1, '_lambda': 0.001}
(GS - MLCUP) - Configuration 2, score : 412.60277774590253, best_validation_mee : 4.116027777459025, params:{'epoch': 200, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 1e-05, 'alpha': 0.9, '_lambda': 0.001}
(GS - MLCUP) - Configuration 3, score : 424.08388154105234, best_validation_mee : 4.240838815410523, params:{'epoch': 200, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 1e-05, 'alpha': 0.1, '_lambda': 0.001}
(GS - MLCUP) - Configuration 4, score : 424.08388192883376, best_validation_mee : 4.240838819288338, params:{'epoch': 200, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 1e-05, 'alpha': 0.9, '_lambda': 0.001}
(GS - MLCUP) - Configuration 5, score : 424.08388200212784, best_validation_mee : 4.2408388200212785, params:{'epoch': 200, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 1e-05, 'alpha': 0.8, '_lambda': 0.001}
(GS - MLCUP) - Configuration 6, score : 426.3955073935996, best_validation_mee : 4.263955073935996, params:{'epoch': 200, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 1e-05, 'alpha': 0.1, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 7, score : 426.3955073935997, best_validation_mee : 4.263955073935997, params:{'epoch': 200, 'batch_size': 916, 'lr_decay': 1e-06, 'eta': 1e-05, 'alpha': 0.8, '_lambda': 0.0001}
(GS - MLCUP) - Model 1 evalutation
(GS - MLCUP) - Configuration 0, score : 355.32280513333086, best_validation_mee : 3.5532280513333085, params:{'epoch': 200, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 9e-06, 'alpha': 0.9, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 1, score : 355.3228051333309, best_validation_mee : 3.5532280513333094, params:{'epoch': 200, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 9e-06, 'alpha': 0.1, '_lambda': 0.0001}
(GS - MLCUP) - Configuration 2, score : 355.3228051333309, best_validation_mee : 3.5532280513333094, params:{'epoch': 200, 'batch_size': 916, 'lr_decay': 5e-06, 'eta': 9e-06, 'alpha': 0.8, '_lambda': 0.0001}
